Sr.NO,shortName,industry,ebitdaMargins,profitMargins,grossMargins,operatingCashflow,revenueGrowth,operatingMargins,ebitda,grossProfits,freeCashflow,currentPrice,earningsGrowth,currentRatio,returnOnAssets,debtToEquity,returnOnEquity,totalCash,totalDebt,totalRevenue,totalCashPerShare,financialCurrency,revenuePerShare,quickRatio,quoteType,symbol,enterpriseToRevenue,enterpriseToEbitda,forwardEps,sharesOutstanding,bookValue,trailingEps,priceToBook,heldPercentInsiders,enterpriseValue,earningsQuarterlyGrowth,pegRatio,forwardPE,marketCap
193,AFLAC Incorporated,Insurance—Life,0.24753,0.18766001,0.40601003,5537999872,-0.076,0.24572,5590000128,7821000000,3328875008,65.53,-0.616,0.684,0.02157,32.579,0.12836,8040999936,10931000320,22582999040,12.155,USD,33.011,0.538,EQUITY,AFL,1.891,7.639,5.27,661528000,50.62,6.167,1.2945476,0.09212,42700767232,-0.638,2.62,12.434535,43349929984
194,Sysco Corporation,Food Distribution,0.04611,0.01293,0.17948,1344210944,0.412,0.03375,2800523008,9356749000,493255136,80.91,1.52,1.325,0.05835,944.606,0.57829,1374275968,11843109888,60738232320,2.708,USD,118.675,0.75,EQUITY,SYY,0.822,17.838,4.21,512656000,3.266,1.332,24.773424,0.001,49955565568,1.488,0.44,19.218529,41479000064
195,Kroger Company (The),Grocery Stores,0.04093,0.0074699996,0.22830999,5709000192,0.072,0.01947,5549000192,31789000000,3747000064,57,-0.2,0.797,0.033570003,218.165,0.10453,2288000000,20706000896,135577001984,3.112,USD,180.649,0.25,EQUITY,KR,0.377,9.22,3.39,735256000,12.898,1.325,4.41929,0.00661,51160342528,-0.235,2.02,16.81416,41909592064
196,Monster Beverage Corporation,Beverages—Non-Alcoholic,0.34689,0.2876,0.57065,1342909056,0.132,0.33639,1842898048,2723880000,1066607488,78.7,-0.031,4.702,0.16991,0.318,0.28101,2936737024,19828000,5312590848,5.55,USD,10.053,4.061,EQUITY,MNST,9.186,26.481,2.94,529139008,11.802,2.86,6.668361,0.28695,48801148928,-0.03,2.66,26.768705,41643237376
197,"Kinder Morgan, Inc.",Oil & Gas Midstream,0.42869,0.11464,0.50288,5708000256,0.31,0.29294002,6559000064,6680000000,1498875008,19.07,0.084,0.461,0.0396,103.76,0.056539997,229000000,32842999808,15299999744,0.101,USD,6.756,0.285,EQUITY,KMI,4.661,10.872,1.03,2267429888,13.475,0.768,1.4152133,0.11602,71308918784,0.088,1.71,18.514563,43239886848
198,Nucor Corporation,Steel,0.24482,0.15857,0.26264998,4111649024,1.093,0.21648,7682258944,2248909000,901464640,157.62,10.486,2.527,0.19094999,41.688,0.42227,2011539968,5815611904,31379582976,7.038,USD,105.234,1.271,EQUITY,NUE,1.204,4.919,16.72,285799008,46.965,16.577,3.356116,0.00497,37790318592,10.001,0.14,9.427033,45047640064
199,"Republic Services, Inc.",Waste Management,0.29597,0.114250004,0.41151002,2786700032,0.148,0.18728,3343000064,4648000000,1247537536,131.5,0.342,0.708,0.054640003,110.052,0.14795999,29000000,9882300416,11294999552,0.092,USD,35.429,0.636,EQUITY,RSG,4.457,15.06,4.63,317095008,27.939,3.79,4.7066827,0.00185,50344656896,0.33,3.12,28.401728,41697992704
200,"Agilent Technologies, Inc.",Diagnostics & Research,0.27299,0.19148001,0.53917,1484999936,0.119,0.22219,1724999936,3407000000,1134875008,135.71,1.035,2.224,0.08632,54.017,0.23582001,1575000064,2911000064,6319000064,5.215,USD,20.786,1.647,EQUITY,A,7.105,26.027,4.7,302000992,17.832,3.94,7.6104755,0.00246,44896595968,0.991,2.99,28.87447,40984555520
201,Devon Energy Corporation,Oil & Gas E&P,0.33679,0.11572,0.53251,3660000000,2.141,0.42341,3507000064,1557000000,1477624960,62.5,,1.206,0.17561,74.782,0.20444,2144000000,6776000000,10412999680,3.167,USD,17.582,1.067,EQUITY,DVN,3.637,10.798,5.23,677000000,13.182,2.014,4.741314,0.00836,37867528192,,0.56,11.950287,42312499200
202,"Walgreens Boots Alliance, Inc.",Pharmaceutical Retailers,0.04185,0.04764,0.21495001,5458999808,0.078,0.02915,5648999936,28067000000,3559749888,47.12,,0.831,0.02649,117.569,0.21708,4135000064,39227998208,134971998208,4.79,USD,156.051,0.417,EQUITY,WBA,0.619,14.787,5.1,863945024,27.062,2.933,1.7411869,0.17333001,83529465856,,3.7,9.239216,40709087232
203,HP Inc.,Computer Hardware,0.10389,0.10243,0.21133,6408999936,0.093,0.091529995,6595999744,13417000000,4015124992,39.84,4.54,0.762,0.09911,,,4304000000,8801999872,63487000576,3.975,USD,52.555,0.452,EQUITY,HPQ,0.71,6.836,4.38,1082720000,-1.511,5.33,,0.00178,45089267712,3.639,0.54,9.09589,43135565824
204,Kimberly-Clark Corporation,Household & Personal Products,0.18472,0.093310006,0.31595,2729999872,0.027,0.14624,3591000064,6142000000,1321874944,120.28,-0.337,0.825,0.1005,1237.856,2.29639,270000000,9123000320,19440001024,0.801,USD,57.634,0.367,EQUITY,KMB,2.685,14.534,6.75,336716992,1.408,5.882,85.42613,0.00061,52190924800,-0.338,-24.22,17.81926,40500318208
205,MSCI Inc,Financial Data & Stock Exchanges,0.57254004,0.35529,0.82517,892332992,0.216,0.54005,1109211008,1403686000,834693632,490.31,-0.06,1.817,0.14132,,,1284664064,4334309888,1937362944,15.582,USD,23.462,1.752,EQUITY,MSCI,26.73,46.688,11.15,82446704,-3.396,8.24,,0.02931,51786371072,-0.068,3.07,43.97399,40424443904
206,"Williams Companies, Inc. (The)",Oil & Gas Midstream,0.42661,0.10213,0.52147,3920000000,0.48,0.24235001,4223000064,4780000000,1547624960,33.88,-0.48,0.584,0.033210002,160.658,0.07357,214000000,22361999360,9898999808,0.176,USD,8.148,0.445,EQUITY,WMB,5.798,13.591,1.28,1215030016,9.195,0.82,3.6846116,0.0020299999,57393897472,-0.466,10.42,26.468752,41165217792
207,"AutoZone, Inc.",Specialty Retail,0.23405,0.15076,0.5261,3612982016,0.163,0.20647,3544508928,7717785000,2687956992,2027.29,0.38,0.785,0.13464,,,1016644992,8159840768,15144227840,16.423,USD,698.591,0.173,EQUITY,AZO,8.633,36.883,116.8,20634400,-102.774,102.569,,0.0037099998,130732908544,0.255,1.41,17.356936,41831915520
208,"General Mills, Inc.",Packaged Foods,0.21361,0.12020001,0.34219003,3054200064,0.065,0.18174,3974799872,6450600000,910187520,67.39,-0.126,0.846,0.06524,122.245,0.22723,1021000000,12672300032,18607499264,1.693,USD,30.424,0.357,EQUITY,GIS,2.872,13.446,3.92,603206976,15.79,3.628,4.267891,0.0015700001,53444804608,-0.132,3.89,17.191326,40650117120
209,Baker Hughes Company,Oil & Gas Equipment & Services,0.14182,0.00682,0.19983,1976999936,0.009,0.086289994,2908999936,3445000000,1708375040,38.72,,1.592,0.03026,39.704,0.01663,4328999936,6764000256,20512000000,4.976,USD,26.374,1.032,EQUITY,BKR,1.345,9.485,1.21,869968000,16.463,0.18,2.3519409,0.061680004,27591483392,,0.11,32,33685161984
210,Realty Income Corporation,REIT—Retail,0.84133005,0.17267999,0.93582,,0.641,0.45790002,1751290112,1947964000,,67.95,-0.976,0.428,0.01865,61.452,0.019960001,258579008,15442636800,2081569024,0.437,USD,5.021,0.41,EQUITY,O,26.005,30.909,1.73,565764992,32.991,1.268,2.0596526,0.00124,54130446336,-0.966,9.68,39.277454,38443728896
211,Valero Energy Corporation,Oil & Gas Refining & Marketing,0.04239,0.00858,0.05065,5858999808,1.249,0.02063,4592000000,5487000000,4284999936,97.25,,1.256,0.02548,76.323,0.06528,4121999872,15125000192,108331999232,10.071,USD,266.172,0.86,EQUITY,VLO,0.439,10.362,5.99,408836000,42.747,-1.088,2.2750134,0.0043200003,47581925376,,-4.15,16.235394,39759302656
212,Carrier Global Corporation,Building Products & Equipment,0.14097999,0.08071999,0.29147,2236999936,0.117,0.12458,2905999872,6008000000,55625000,46.39,-0.629,1.721,0.06261,145.94,0.24882999,2987000064,10353000448,20612999168,3.491,USD,23.756,0.889,EQUITY,CARR,2.268,16.086,2.34,866585024,7.962,2.493,5.8264256,0.00085,46747213824,-0.633,1.68,19.824787,40200880128
213,"DuPont de Nemours, Inc.",Specialty Chemicals,0.25208,0.29224002,0.3496,2960999936,0.177,0.11302,5593999872,6875000000,2501499904,77.09,,2.013,0.026530001,40.603,0.04642,1670000000,11059999744,22190999552,3.223,USD,37.144,1.071,EQUITY,DD,2.378,9.432,4.94,518104000,51.405,10.821,1.4996595,0.00079,52760289280,,1.25,15.605262,39940636672
214,Baxter International Inc.,Medical Instruments & Supplies,0.22817,0.0975,0.40487,2240999936,0.085,0.15925999,2840999936,4733000000,1373750016,77.21,0.29,2.373,0.062119998,73.057,0.14055,3257999872,6440000000,12451000320,6.507,USD,24.68,1.58,EQUITY,BAX,3.732,16.356,4.38,500692992,17.517,2.376,4.407718,0.0016,46466883584,0.264,2.18,17.627853,38658506752
